Year	tree ring data
2494	189
2495	208.27
2496	184.22
2497	179.16
2498	203.65
2499	231.34
2500	253.77
2501	259.28
2502	238.48
2503	222.29
2504	232.74
2505	239.53
2506	227.78
2507	243.45
2508	237.33
2509	246.49
2510	209.87
2511	251.34
2512	225.05
2513	221
2514	174.63
2515	166.11
2516	162.32
2517	185.74
2518	165.45
2519	168.41
2520	218.08
2521	249.38
2522	237.98
2523	207.76
2524	216.73
2525	269.76
2526	212.42
2527	258.18
2528	205
2529	327.21
2530	313.19
2531	303
2532	206.73
2533	169.22
2534	183.84
2535	261.15
2536	268.66
2537	274.91
2538	285.37
2539	264.51
2540	238.79
2541	230.33
2542	246.95
2543	305.29
2544	264.03
2545	204.38
2546	211.51
2547	159.66
2548	158.54
2549	127.85
2550	219.17
2551	242.91
2552	254.27
2553	257.42
2554	242
2555	280.11
2556	228.47
2557	203.41
2558	143.44
2559	212.84
2560	198.68
2561	156.37
2562	153.54
2563	163.72
2564	253.5
2565	279.85
2566	269.33
2567	259.08
2568	224
2569	183.51
2570	163.78
2571	185.33
2572	192.72
2573	190.59
2574	165.82
2575	212.92
2576	195.12
2577	169.92
2578	73
2579	81
2580	95
2581	161.87
2582	210.04
2583	216.48
2584	244.15
2585	256
2586	254
2587	239.92
2588	252.63
2589	273.45
2590	292.16
2591	288.73
2592	342.62
2593	298.79
2594	158
2595	314.81
2596	297.92
2597	299.81
2598	266.34
2599	275.95
2600	240.74
2601	217.98
2602	116.53
2603	108.74
2604	119.09
2605	156.45
2606	160.02
2607	1192.8
2608	191.98
2609	205.08
2610	674257
2611	260.07
2612	278.51
2613	253.02
2614	236.67
2615	241.77
2616	289.46
2617	333.66
2618	349.95
2619	241.49
2620	170.63
2621	150.57
2622	200.82
2623	198.86
2624	199
2625	213.68
2626	195.85
2627	232.4
2628	272.97
2629	233.41
2630	172.02
2631	172.19
2632	171.89
2633	249.95
2634	260.26
2635	278.54
2636	243.7
2637	257.12
2638	254.43
2639	266.13
2640	223.44
2641	198.23
2642	203.55
2643	176.71
2644	240.96
2645	257.86
2646	324.77
2647	265.97
2648	259.19
2649	216.13
2650	189.85
2651	181.23
2652	222.45
2653	285.95
2654	307.77
2655	325.99
2656	363.39
2657	332.68
2658	288.41
2659	228.31
2660	252.18
2661	268.38
2662	283.3
2663	233.66
2664	218.73
2665	188.19
2666	200.08
2667	172.65
2668	221.05
2669	208.15
2670	256.69
2671	227.74
2672	240.47
2673	202.77
2674	176.88
2675	180.74
2676	208.49
2677	245.17
2678	248.15
2679	293.04
2680	290.01
2681	340.65
2682	322.21
2683	287.75
2684	222.36
2685	309.88
2686	244.63
2687	241.93
